observation_date;TEDRATE;Ted_lag;Ted_diff;R_BAB;BAB_lagged;R_BAB_SD;BAB_SD_lagged;BS;BS_SD;MarketReturn
2020-02-26;11;14;-3;-0.00474290008517439;-0.0165483736564156;-0.00282936839782615;-0.0149089715331763;0.744400134516438;0.71971400131916;-0.00122043799729332
2020-02-27;16;11;5;-0.00960767908801598;-0.00474290008517439;-0.00872106235206893;-0.00282936839782615;0.74338220862072;0.719162536321577;-0.0318922760918302
2020-02-28;21;16;5;-0.0304031740557753;-0.00960767908801598;-0.0285527890224717;-0.00872106235206893;0.745353262089964;0.721041825074201;-0.0385778486447499
2020-03-02;15;21;-6;0.0308103992460436;-0.0304031740557753;0.0311196589102734;-0.0285527890224717;0.733871866192767;0.710992008251774;-0.00273162690753426
2020-03-03;38;15;23;0.0268399642644285;0.0308103992460436;0.0268399642644285;0.0311196589102734;0.563769318085687;0.563769318085687;0.0107540393004812
2020-03-04;29;38;-9;0.0249113333141934;0.0268399642644285;0.0249113333141934;0.0268399642644285;0.555640586793753;0.555640586793753;0.0118727884532752
2020-03-05;39;29;10;0.0179292216197999;0.0249113333141934;0.0179292216197999;0.0249113333141934;0.544681815026014;0.544681815026014;-0.015086962150253
2020-03-06;45;39;6;-0.00680805263021479;0.0179292216197999;-0.00680805263021479;0.0179292216197999;0.552904601580336;0.552904601580336;-0.0337261986886255
2020-03-09;45;45;0;0.0153600972370774;-0.00680805263021479;0.0153600972370774;-0.00680805263021479;0.560033869836036;0.560033869836036;-0.0794368676826199
2020-03-10;35;45;-10;-0.0333341114632696;0.0153600972370774;-0.0333341114632696;0.0153600972370774;0.635160778632286;0.635160778632286;-0.0140733852736278
2020-03-11;36;35;1;-0.0131180551442127;-0.0333341114632696;-0.0131180551442127;-0.0333341114632696;0.608414725565583;0.608414725565583;-0.00351391677143498
2020-03-12;41;36;5;0.01182349309294;-0.0131180551442127;0.01182349309294;-0.0131180551442127;0.59209230378687;0.59209230378687;-0.122386163767833
2020-03-13;57;41;16;-0.0114234670927743;0.01182349309294;-0.0114234670927743;0.01182349309294;0.696035078508609;0.696035078508609;0.00774467778538246
2020-03-16;65;57;8;0.0247301393051147;-0.0114234670927743;0.0247301393051147;-0.0114234670927743;0.683083577678713;0.683083577678713;-0.053057382518349
2020-03-17;86;65;21;0.0324794622528266;0.0247301393051147;0.0324794622528266;0.0247301393051147;0.688609241625462;0.688609241625462;0.0225170865623838
2020-03-18;110;86;24;0.0652900397763895;0.0324794622528266;0.0652900397763895;0.0324794622528266;0.685921151953876;0.685921151953876;-0.0556420668747415
2020-03-19;116;110;6;0.0192874502673239;0.0652900397763895;0.0192874502673239;0.0652900397763895;0.730143008203917;0.730143008203917;0.0199864719351885
2020-03-20;115;116;-1;-0.0359824909404276;0.0192874502673239;-0.0359824909404276;0.0192874502673239;0.720315492998878;0.720315492998878;0.0369923453300243
2020-03-23;120;115;5;-0.00240609237783687;-0.0359824909404276;-0.00240609237783687;-0.0359824909404276;0.738703393961501;0.738703393961501;-0.0210327082131719
2020-03-24;122;120;2;-0.0146279849860754;-0.00240609237783687;-0.0146279849860754;-0.00240609237783687;0.744453427779527;0.744453427779527;0.109759013402127
2020-03-25;131;122;9;-0.0228557402545335;-0.0146279849860754;-0.0228557402545335;-0.0146279849860754;0.815324996673481;0.815324996673481;0.0179051334096862
2020-03-26;142;131;11;-0.00303814788851349;-0.0228557402545335;-0.00303814788851349;-0.0228557402545335;0.814253367755011;0.814253367755011;0.0128313412853216
2020-03-27;142;142;0;-0.00139294043647332;-0.00303814788851349;-0.00139294043647332;-0.00303814788851349;0.816392997950548;0.816392997950548;-0.0368404633155216
2020-03-30;131;142;-11;0.058757469837333;-0.00139294043647332;0.058757469837333;-0.00139294043647332;0.81775258600688;0.81775258600688;0.0190448605349378
2020-03-31;134;131;3;0.0120562107147764;0.058757469837333;0.0120562107147764;0.058757469837333;0.815072788430895;0.815072788430895;0.012211732513445
2020-04-01;135;134;1;0.0189681929815139;0.0120562107147764;0.0189681929815139;0.0120562107147764;0.813805648719083;0.813805648719083;-0.0393615436641492
2020-04-02;128;135;-7;0.0130717257692947;0.0189681929815139;0.0111893636988628;0.0189681929815139;0.820841933048355;0.827672723401197;0.00273134445637657
2020-04-03;129;128;1;0.00341537709882387;0.0130717257692947;0.0051784475045844;0.0111893636988628;0.821238661914345;0.828184644597596;-0.00470701569980414
2020-04-06;120;129;-9;-0.0309057532488807;0.00341537709882387;-0.0310204630812061;0.0051784475045844;0.818463957444402;0.825399126496743;0.0576751275749887
2020-04-07;118;120;-2;-0.0163272373988255;-0.0309057532488807;-0.00999533835747526;-0.0310204630812061;0.842762209577001;0.849436893456607;0.0279429528236248
2020-04-08;109;118;-9;0.00125311146451859;-0.0163272373988255;-0.0020918704741417;-0.00999533835747526;0.850741958719187;0.855785579767178;-0.00229899485357321
2020-04-09;97;109;-12;-0.00700709908664409;0.00125311146451859;-0.00740920972502818;-0.0020918704741417;0.85559036252928;0.860452838378555;0.0224380594393243
2020-04-10;0;97;-97;-3.77805681546517E-06;-0.00700709908664409;-3.79793393236558E-06;-0.00740920972502818;0.858651165287747;0.863168701794672;0
2020-04-13;0;0;0;-3.77855962628715E-06;-3.77805681546517E-06;-3.79894952814889E-06;-3.79793393236558E-06;0.858765440725968;0.863399519525953;0
2020-04-14;98;0;98;0.0322864745510335;-3.77855962628715E-06;0.0284081861291836;-3.79894952814889E-06;0.860012278526815;0.864650017333733;0.012477353915004
2020-04-15;99;98;1;0.027850307293824;0.0322864745510335;0.0255600430980832;0.0284081861291836;0.858765286083733;0.864496617728492;-0.0389657983501237
2020-04-16;100;99;1;0.0225421700118951;0.027850307293824;0.0297818202361284;0.0255600430980832;0.871708499788101;0.876700546076881;0.00211872650723377
2020-04-17;99;100;-1;-0.0248886708094756;0.0225421700118951;-0.0262707201737509;0.0297818202361284;0.870094650079454;0.876243664934801;0.0314749056937118
2020-04-20;98;99;-1;0.0234541138017081;-0.0248886708094756;0.0176849001839976;-0.0262707201737509;0.880360643277909;0.886749966222138;0.00471683019975933
2020-04-21;93;98;-5;0.0224791851470503;0.0234541138017081;0.0150338335551101;0.0176849001839976;0.874116441047368;0.8820871291541;-0.0399076424470067
2020-04-22;90;93;-3;0.0053113205468513;0.0224791851470503;0.00941499493929887;0.0150338335551101;0.885408597492631;0.893760597879213;0.0161153577857238
2020-04-23;88;90;-2;0.0022153202408982;0.0053113205468513;-0.000324839773649319;0.00941499493929887;0.886741357715322;0.894513808089199;0.00948244988252567
2020-04-24;77;88;-11;0.0201089118180513;0.0022153202408982;0.0223584979920044;-0.000324839773649319;0.886128399217953;0.893958470580334;-0.0169016120732867
2020-04-27;72;77;-5;-0.00926060774555787;0.0201089118180513;-0.00895576109796781;0.0223584979920044;0.89008427759023;0.89853816831728;0.0313368014403899
2020-04-28;65;72;-7;-0.0273923738274353;-0.00926060774555787;-0.0262214067073893;-0.00895576109796781;0.898238218963797;0.906190703611284;0.0127242145630531
2020-04-29;59;65;-6;-0.0427073866631651;-0.0273923738274353;-0.0424595857665543;-0.0262214067073893;0.904884609611434;0.911800645907697;0.0289107722291335
2020-04-30;47;59;-12;0.0283377345830429;-0.0427073866631651;0.0281326541931531;-0.0424595857665543;0.919690369762971;0.926242251428825;-0.0221557220460689
2020-05-01;42;47;-5;-3.33071126155124E-06;0.0283377345830429;-3.35358988862563E-06;0.0281326541931531;0.925199237981149;0.931554423607604;0
2020-05-04;37;42;-5;0.00642463957028547;-3.33071126155124E-06;0.00352354437369171;-3.35358988862563E-06;0.924814397035089;0.928938872334894;-0.0363517848133431
2020-05-05;34;37;-3;0.0172938795638359;0.00642463957028547;0.0217541128176535;0.00352354437369171;0.928844325961871;0.932216409113153;0.0250945847823594
2020-05-06;33;34;-1;0.0160156820869593;0.0172938795638359;0.0175295722588297;0.0217541128176535;0.923646780796308;0.926165729830856;-0.0114879966000151
2020-05-07;32;33;-1;0.00235028550349903;0.0160156820869593;0.00281539839921957;0.0175295722588297;0.926199731695327;0.928862175238699;0.0144321246063623
2020-05-08;0;32;-32;0.00743817751823381;0.00235028550349903;0.00379026587312837;0.00281539839921957;0.921619963264547;0.924349264554698;0.0134962687989055
2020-05-11;31;0;31;0.0178204964602985;0.00743817751823381;0.0182233655261922;0.00379026587312837;0.922672483386297;0.925459924187503;-0.0072896644314997
2020-05-12;29;31;-2;0.0234803069069859;0.0178204964602985;0.024898395332056;0.0182233655261922;0.922481642554805;0.925468959685354;-0.000507159821856673
2020-05-13;26;29;-3;0.0230619483882427;0.0234803069069859;0.022657240679048;0.024898395332056;0.92122585557642;0.924279515760279;-0.0255871343407736
2020-05-14;27;26;1;-0.0106418514691061;0.0230619483882427;-0.00907766637058422;0.022657240679048;0.929967592263391;0.933020215955344;-0.0195055137887402
2020-05-15;26;27;-1;-0.000734591829661205;-0.0106418514691061;-0.00203949125193555;-0.00907766637058422;0.931233524418267;0.934451420808119;0.0123971899057949
2020-05-18;25;26;-1;-0.0166101800900568;-0.000734591829661205;-0.0121809425844208;-0.00203949125193555;0.931518770302207;0.934802405762099;0.0567310421139839
2020-05-19;24;25;-1;-0.0107372952629023;-0.0166101800900568;-0.0101916556293724;-0.0121809425844208;0.949689770303374;0.951496150447316;0.00148478099480331
2020-05-20;24;24;0;0.0156171762880673;-0.0107372952629023;0.0125839188877749;-0.0101916556293724;0.947602047495095;0.949198518475355;0.0134010034951679
2020-05-21;24;24;0;-0.00159985970584539;0.0156171762880673;-0.0013361873221756;0.0125839188877749;0.945352144777358;0.946882354111967;-0.0140577402659191
2020-05-22;25;24;1;0.00497388752854016;-0.00159985970584539;0.00402002856016972;-0.0013361873221756;0.947680913375592;0.949224885232507;0.000717517641987575
2020-05-25;0;25;-25;0.0125295502006874;0.00497388752854016;0.0158751771004616;0.00402002856016972;0.947637208994864;0.949246953158808;0.0286629696754612
2020-05-26;23;0;23;-0.0429661495442679;0.0125295502006874;-0.0430824412001963;0.0158751771004616;0.948359535064326;0.94952538089744;0.00995234951647217
2020-05-27;21;23;-2;-0.0406037401586151;-0.0429661495442679;-0.0401067703746874;-0.0430824412001963;0.951732644123789;0.952909372431304;0.0133024472713208
2020-05-28;20;21;-1;0.0386658314724455;-0.0406037401586151;0.0389680738682429;-0.0401067703746874;0.956530724371801;0.95774631790978;0.0105887186912672
2020-05-29;20;20;0;0.0331582176407991;0.0386658314724455;0.0325369665820356;0.0389680738682429;0.955139331188736;0.956282932064469;-0.0164907780493042
2020-06-01;20;20;0;-5.34875310283908E-06;0.0331582176407991;-5.3545811796196E-06;0.0325369665820356;0.955137157034297;0.956177887944865;0
2020-06-02;18;20;-2;-0.0403374853895399;-5.34875310283908E-06;-0.0364723368020771;-5.3545811796196E-06;0.954881805901676;0.918214727063025;0.0374933653236211
2020-06-03;17;18;-1;-0.0115245387452926;-0.0403374853895399;-0.0112138196130307;-0.0364723368020771;0.96513454373323;0.927345204215826;0.0387712456577003
