observation_date;TEDRATE;Ted_lag;Ted_diff;R_BAB;BAB_lagged;R_BAB_SD;BAB_SD_lagged;BS;BS_SD;MarketReturn
2013-10-23;20;0;0;-0.00906276634820441;0;-0.00919589273957538;0;2.49271040012382;2.41735233675485;-0.00214821282552347
2013-10-24;21;20;1;0.015030642619682;-0.00906276634820441;0.0133584691292516;-0.00919589273957538;2.51106412690835;2.43502678982807;0.00600016667129633
2013-10-25;20;21;-1;0.00958120594034058;0.015030642619682;0.00980300424166686;0.0133584691292516;2.51309995935565;2.43680796375574;-0.00313406047218001
2013-10-28;20;20;0;-0.0226180935778749;0.00958120594034058;-0.0166328754714173;0.00980300424166686;2.4649907470526;2.38959553362546;-0.00380870600944561
2013-10-29;20;20;0;-0.0107304963213991;-0.0226180935778749;-0.00875698118923809;-0.0166328754714173;2.46507616201567;2.38970415617587;0.0042125458792126
2013-10-30;20;20;0;0.0145686148043341;-0.0107304963213991;0.0133638286713917;-0.00875698118923809;2.45472605256365;2.37958797056337;-0.000872201686256568
2013-10-31;20;20;0;0.0105764579253662;0.0145686148043341;0.0089499046818704;0.0133638286713917;2.46115329889628;2.38675439858845;-0.0177502494180245
2013-11-01;20;20;0;-0.00250418084627926;0.0105764579253662;0.000681051244652939;0.0089499046818704;2.5040034172733;2.42944158113523;0.00339977711004824
2013-11-04;19;20;-1;-0.00635364005130414;-0.00250418084627926;-0.00782965222746638;0.000681051244652939;2.48689337436327;2.496171061647;0.000618603081768088
2013-11-05;19;19;0;0.00857637685912128;-0.00635364005130414;0.00840064791051202;-0.00782965222746638;2.48553311844898;2.49539710916635;-0.00696903276569438
2013-11-06;19;19;0;-0.00559046963219419;0.00857637685912128;-0.00523960621417666;0.00840064791051202;2.48204228079664;2.49210515334647;0.0153092987718604
2013-11-07;19;19;0;0.000749588442260047;-0.00559046963219419;0.00110545968698086;-0.00523960621417666;2.49943036331735;2.50977198168917;-0.00146325148415516
2013-11-08;18;19;-1;-0.0210515628789016;0.000749588442260047;-0.0213794049686669;0.00110545968698086;2.49638148312005;2.50661027694386;-0.00277727380570247
2013-11-11;0;18;-18;-0.0117990853662067;-0.0210515628789016;-0.0122880790069601;-0.0213794049686669;2.49821028892443;2.50840088829212;0.00454838077644348
2013-11-12;16;0;16;0.026360458413414;-0.0117990853662067;0.0265826749442923;-0.0122880790069601;2.51850460912972;2.52853698147868;-0.00675685088953581
2013-11-13;16;16;0;0.0141689645480722;0.026360458413414;0.013550374831195;0.0265826749442923;2.52183477293771;2.53180910157194;0.00154290683647984
2013-11-14;16;16;0;0.0398877206826231;0.0141689645480722;0.0408931016977906;0.013550374831195;2.53110376043215;2.5409162415529;0.00680634138143521
2013-11-15;16;16;0;0.00584125233987526;0.0398877206826231;0.00518599962835574;0.0408931016977906;2.51934984406537;2.52915686437228;0.00276811795799148
2013-11-18;15;16;-1;-0.016770430411889;0.00584125233987526;-0.0151596180147504;0.00518599962835574;2.5079413120543;2.51776337378894;0.00645035997170162
2013-11-19;16;15;1;-0.00349792480166526;-0.016770430411889;-0.00333754167782789;-0.0151596180147504;2.50386739189382;2.51353420510494;-0.00707059569424151
2013-11-20;16;16;0;0.0051206103608556;-0.00349792480166526;0.0047660860295666;-0.00333754167782789;2.50734400625782;2.5171326654949;-0.00460848683388615
2013-11-21;17;16;1;0.0212978769374416;0.0051206103608556;0.0208708219077223;0.0047660860295666;2.50485687757052;2.51479772042455;0.00167343011337473
2013-11-22;17;17;0;0.0338071594221916;0.0212978769374416;0.0349448107503651;0.0208708219077223;2.50326483738991;2.51309436786197;-0.0043575714544265
2013-11-25;16;17;-1;-0.0020929216329428;0.0338071594221916;-0.00319549783133439;0.0349448107503651;2.51151675653189;2.52116144196675;0.00587281167850562
