Date;Market Return DAX;SMB;HML;Risk Free Rate
20090101;0;0;0;0.0000044
20090102;0.0338592989896469;-0.0253125740006858;-0.00750100957991001;0.0000044
20090105;0.00219582672272867;-0.00412362558385245;-0.00510324085974324;0.0000044
20090106;0.00849118878649446;-0.00439750536273193;0.0148413437944675;0.0000044
20090107;-0.0176749941806216;-0.00204687134521309;-0.0000632522398307831;0.0000044
20090108;-0.0116577923511435;-0.00400894391702888;0.0131003647366921;0.0000044
20090109;-0.0196765923961711;0.00848157067709798;-0.00570289927328103;0.0000044
20090112;-0.0134346734561205;0.0159125732234375;-0.00334757789910555;0.0000044
20090113;-0.0175183595289452;0.0202636814459815;-0.0104139491351332;0.0000044
20090114;-0.0462783646111442;0.0241886300742801;0.0179364497775159;0.0000044
20090115;-0.0193607471140911;0.0036653132739602;-0.0141427057701801;0.0000044
20090116;0.00681388972797481;-0.00195073916622445;-0.00173976386068592;0.0000044
20090119;-0.0114834596040564;0.00503060338462622;-0.0000869912848766113;0.0000044
20090120;-0.0176755156227555;0.00594816995441257;0.00405380726547497;0.0000044
20090121;0.00502376263311177;-0.00945602007195095;-0.0135028596510412;0.0000044
20090122;-0.00979313096229883;0.00599971926257446;-0.00236752783076471;0.0000044
20090123;-0.00959373563191157;0.0120664208635473;0.0121641573344503;0.0000044
20090126;0.0353989289149881;-0.0211505433259825;-0.000656781962085401;0.0000044
20090127;-0.000797343114075533;0.00371841943186555;-0.00069721185456054;0.0000044
20090128;0.0451725717140596;-0.0138417872677833;-0.0119916486554034;0.0000044
20090129;-0.0200521386587353;0.01504829675098;-0.00803537810772055;0.0000044
20090130;-0.0202704991520083;0.0114329366178202;0.00173631871842651;0.0000044
20090202;-0.0155151151935644;0.0100708992972468;0.00473844267951667;0.0000096
20090203;0.024331310406833;-0.0149779618596457;0.00204226328155898;0.0000096
20090204;0.0269328176714758;-0.0310565899140306;-0.00196822056528352;0.0000096
20090205;0.00393964552093462;0.00399168123269583;-0.00844779521039166;0.0000096
20090206;0.0297395626639234;-0.032190423282572;-0.00894955996926224;0.0000096
20090209;0.00477756032235077;-0.00871248038483382;-0.000948481823717327;0.0000096
20090210;-0.0345588644944522;0.0300074703296438;0.0034905166031903;0.0000096
20090211;0.00544884741895535;-0.00984771079515406;-0.00108996545147499;0.0000096
20090212;-0.0270480277433781;0.0253672606443893;-0.00442751144823685;0.0000096
20090213;0.00132272731397864;-0.00364773885937548;-0.00808648807705697;0.0000096
20090216;-0.0105927642923014;0.00407768086120476;-0.00721442394924737;0.0000096
20090217;-0.0343605151787186;0.0194535841772959;-0.00744428708129609;0.0000096
20090218;-0.00276051795285304;0.00400097877378679;0.00358867029275228;0.0000096
20090219;0.00243759750390016;-0.00167468743204702;0.00493179048685503;0.0000096
20090220;-0.0475777007551226;0.0235790472925011;0.000860528525291645;0.0000096
20090223;-0.0194811017620421;0.0148107724403712;-0.00571171796650935;0.0000096
20090224;-0.010339265073861;0.00156257340233593;-0.00845374149160524;0.0000096
20090225;-0.0127164217416416;0.0103435863924156;-0.00491578095763859;0.0000096
20090226;0.025066234032983;-0.00659115726667543;0.000243822962033044;0.0000096
20090227;-0.0250797692904718;0.018423570921279;-0.00655765577105036;0.0000096
20090302;-0.034776025433562;0.011747631578517;0.00434189130365694;0.0000104
20090303;-0.00521553501685956;-0.00916496038071628;0.00425600882335737;0.0000104
20090304;0.054249577318247;-0.0404033403287582;0.0123908981200957;0.0000104
20090305;-0.0502320775956453;0.0324020724038073;-0.000178984860924001;0.0000104
20090306;-0.00786905119483472;-0.00545333937525279;0.0128173922662838;0.0000104
20090309;0.00698776187060379;-0.00802463755997443;-0.00930851053780403;0.0000104
20090310;0.0528029295536601;-0.0406951751497875;-0.00955244835607777;0.0000104
20090311;0.00697713906426056;-0.00647699854607411;-0.00479418441324848;0.0000104
20090312;0.0107610945044838;-0.0127319725093649;0.00210640372939966;0.0000104
20090313;-0.000662248307728097;0.00937886608419701;0.00121846536643989;0.0000104
20090316;0.0230018211250507;-0.0101209594480826;-0.000908330736998525;0.0000104
20090317;-0.0140362068368715;0.0145192476245264;-0.00362359727033725;0.0000104
20090318;0.00214405544953711;0.00554511243132182;0.00104833121626995;0.0000104
20090319;0.0117958521840094;-0.00476935610720342;-0.00884071563158999;0.0000104
20090320;0.00625207124591309;0.00197868728275198;-0.000829573493572332;0.0000104
20090323;0.0264529067966988;-0.0090559543600993;-0.00281762231728131;0.0000104
20090324;0.00263147182840595;0.00328941277478655;-0.011580527601314;0.0000104
20090325;0.008580585380765;-0.00710930731257788;0.0274206573196547;0.0000104
20090326;0.0085431026521976;-0.0059473603285823;0.00081917289616816;0.0000104
20090327;-0.0131052244815547;0.0130303980728241;0.00591144681858501;0.0000104
20090330;-0.0509854765614778;0.0450044877575462;-0.00801004707851473;0.0000104
20090331;0.0239469772362086;-0.00446751835014402;-0.00445441681228121;0.0000104
20090401;0.0113372633887914;-0.00971990081213716;-0.0039315881739047;0.0000084
20090402;0.0607227667408203;-0.0489707056775795;0.0119058762810838;0.0000084
20090403;0.000700606126994519;-0.0031969007983136;0.00306363747292598;0.0000084
20090406;-0.00802282331316595;0.0233840060793929;0.00580759480886718;0.0000084
20090407;-0.00627843515004112;0.00504329920888685;0.00293032138719663;0.0000084
20090408;0.00819433198380559;-0.0197789267392706;0.00646906958029914;0.0000084
20090409;0.0305650402026654;-0.0135563969773689;-0.0119131763821307;0.0000084
20090410;0;0.000148250263588204;0.000898834085972897;0.0000084
20090413;0;-0.000396446943902874;-0.00241561279920323;0.0000084
