Date;Market Return;SML;HML;Risk Free Rate
20211221;0.0155846490797946;-0.00235359393434634;-0.00323544953653234;0.000002
20211222;0.0205317411141779;-0.00508613453171163;-0.0161145375465821;0.000002
20211223;0.0018332709101303;0.00517462652446197;0.00855553327084893;0.000002
20211224;0;-6,02E+08;0.0000127877613752336;0.000002
20211227;0.0118019755224117;-0.00775009211121186;-0.00274875169062848;0.000002
20211228;0.00383494937944584;0.00261582485070515;-0.000933617903154044;0.000002
20211229;-0.00109649547647184;0.00194558130511405;0.00768949866725555;0.000002
20211230;0.00475928195739539;0.00282961766553543;-0.00409357052320101;0.000002
20211231;0;-0.000127716764546419;0.000199523616344995;0.000002
20220103;-0.000733480286752242;0.0112375689037872;0.0232712977732756;0.0000024
20220104;-0.0125594458545328;-0.00143752273178154;0.0202105680079971;0.0000024
20220105;-0.00349376755686659;0.002920216332658;0.00469948843022755;0.0000024
20220106;-0.0274317347519681;0.0149821640783326;-0.00391669461788429;0.0000024
20220107;-0.00864289232110704;-0.00117068732510981;-0.00564243075215699;0.0000024
20220110;-0.0196598215630943;-0.0036225789368262;0.0160925549240642;0.0000024
20220111;0.00807064619167686;0.0102765792799199;-0.00276723246404789;0.0000024
20220112;0.01176388179256;-0.00164143146659154;0.0114334150335554;0.0000024
20220113;-0.00317658126550102;-0.00705728658756078;0.0149412384328855;0.0000024
20220114;-0.0257019941413671;0.025643860105151;-0.00516441004968337;0.0000024
20220117;0.00395846961539092;-0.00674398630194833;-0.00592361353777912;0.0000024
20220118;-0.0125344582741624;-0.012758868314163;-0.000535961654598362;0.0000024
20220119;0.00714409586369946;0.00389060188236528;-0.00449769102682548;0.0000024
20220120;0.00803416936852197;-0.0109416896894835;0.0039870978163558;0.0000024
20220121;-0.0224147053799459;0.00718083265624916;-0.00648133651782145;0.0000024
20220124;-0.034277896872243;-0.00593686032254382;0.00724786723471496;0.0000024
20220125;0.00164167380118085;-0.00110797108142313;-0.00541087022977812;0.0000024
20220126;0.0152398995461955;-0.00189801068326242;0.0134033199991504;0.0000024
20220127;0.0134878856393943;-0.00946882003568249;0.00289614593075801;0.0000024
20220128;-0.0134710987980492;0.0107212157298441;-0.0143593865937311;0.0000024
20220131;0.0242978241337553;-0.0152777538613108;-0.00721641926645195;0.0000024
20220201;0.00670370229120865;0.00493315167750529;-0.00662362175159925;0.0000096
20220202;0.0258954165281116;-0.00499691478486769;-0.00513861863332252;0.0000096
20220203;-0.0261321254046603;0.0029279561319222;0.0106710625467741;0.0000096
20220204;-0.0299384042400802;0.0228368892108173;0.00936434930404032;0.0000096
20220207;0.0108187693269866;-0.0142984384942292;-0.0030076863909414;0.0000096
20220208;-0.0194380830028485;0.00257408695939499;0.00652056712197584;0.0000096
20220209;0.0405889183445436;-0.0237571375932016;-0.0137168408139275;0.0000096
20220210;-0.00430776745635386;0.00673234608458317;0.00757790160677443;0.0000096
20220211;-0.0172294939840563;0.00648795188747295;0.0222348443153109;0.0000096
20220214;-0.0224114708173215;-0.0000525847530792357;-0.000257961269983399;0.0000096
20220215;0.0293652854872719;-0.0104753395951566;-0.00635740173458651;0.0000096
20220216;-0.000235199534732611;-0.00206964148550513;0.00221467272005465;0.0000096
20220217;-0.00724157252907531;-0.0114266800211245;-0.00140263195247732;0.0000096
20220218;-0.0165750379153455;0.00346033254911686;0.015040895951969;0.0000096
20220221;-0.017327567700187;-0.00735439825585943;-0.00542617421597893;0.0000096
20220222;0.00354891347962938;0.01353751366337;-0.00829225299328572;0.0000096
20220223;-0.00788573459505082;0.00437435356185035;0.00155111487296087;0.0000096
20220224;-0.0014105635537246;-0.023797744170391;0.0170193313323165;0.0000096
20220225;0.0347847533632288;-0.0124043551746158;-0.00525495788365532;0.0000096
20220228;0.0228335435111395;0.00104432001700445;-0.00952516748862327;0.0000096
20220301;-0.00418174268936489;-0.013727410839837;-0.0215854280580617;0.0000148
20220302;-0.010198307514923;-0.00501508145090098;0.0102103399593095;0.0000148
20220303;-0.000120356599410343;0.0154892887251549;0.00816049445995568;0.0000148
20220304;-0.0143198603695393;0.00182524996652995;0.02774008065029;0.0000148
20220307;0.000392528011235127;-0.00632978174619769;0.0360672946754765;0.0000148
20220308;-0.00185287719129978;0.00510470467449751;0.0230919184376733;0.0000148
20220309;0.0170519069832451;0.000628595372930165;-0.0295471815526237;0.0000148
20220310;-0.0103499218387645;0.0085189919318102;-0.00803091582187862;0.0000148
20220311;0.00767221253070183;-0.0110351508857705;0.0279506636045258;0.0000148
20220314;0.00960337625425267;-0.0117779311355062;-0.0104586480232096;0.0000148
20220315;-0.0042484217710288;-0.00796762006483352;0.0103821645656094;0.0000148
20220316;0.0331471359298161;-0.00576982508844589;-0.0325549729985199;0.0000148
20220317;0.0213821927009477;-0.0158072063251449;0.000617288377245818;0.0000148
20220318;0.00798899078099713;-0.00426737129105311;-0.00605181832756676;0.0000148
20220321;0.00129678180639292;0.00244819142363571;0.00777204776854309;0.0000148
20220322;-0.00552630626354922;0.00803536512756315;0.00446234784744172;0.0000148
20220323;-0.00802814907686411;0.00639526952301462;-0.00720867306083586;0.0000148
20220324;-0.0192767154564356;0.0120551884344209;0.0034788867771421;0.0000148
20220325;-0.00437345661048794;0.0120269347699362;0.00842979827337073;0.0000148
20220328;0.0172950853897866;-0.00570542914897897;0.00297934255032565;0.0000148
20220329;0.00902590792670899;0.0101956518839601;-0.0306975840765529;0.0000148
20220330;0.012956055176117;-0.00561571336965175;-0.0106041237844229;0.0000148
20220331;-0.00406399588781436;-0.00555367365681778;0.0125703161880531;0.0000148
20220401;0.00860066773116563;-0.00322527158137077;0.00150130955135277;0.0000204
20220404;-0.00340613343887552;0.0195092351119456;-0.0323144035655169;0.0000204
20220405;0.0146659446015605;-0.00577830884995871;-0.0187040573578341;0.0000204
20220406;-0.0134339628609044;-0.00289669132393875;-0.00950142521004617;0.0000204
20220407;0.0163378656183504;-0.00686009981581133;-0.0207491634053955;0.0000204
20220408;0.00397444996451402;-0.00208175808450521;0.0112509729569478;0.0000204
20220411;-0.0134627770708642;0.00215183880326071;-0.00216222312922907;0.0000204
20220412;-0.0151273885350318;0.00623056640446625;0.015701535860222;0.0000204
20220413;0.00462409054163304;-0.00607724674485253;-0.00688409184732098;0.0000204
20220414;0;-0.0000044137480051385;0.000415085176462555;0.0000204
20220415;0;5,89E+07;-0.0000553661590206451;0.0000204
20220418;0;-1,12E+08;0.000105476664494503;0.0000204
20220419;0.00467120509849361;0.00295731062389794;0.037381355325875;0.0000204
20220420;0.0119501011193206;-0.00628011382921143;0.000231842967898253;0.0000204
20220421;-0.0107444328799433;0.0173453470311899;0.016917092034929;0.0000204
20220422;-0.0130333554689688;0.0113618766061953;-0.00120259949341014;0.0000204
20220425;-0.00359117365716033;-0.0113308284704844;-0.0224621557632271;0.0000204
20220426;-0.0108082821461987;-0.00449300704711352;0.0296288435725818;0.0000204
20220427;0.0120037997639542;-0.00422081541894563;0.0151836909367285;0.0000204
20220428;-0.00406352095964113;0.00331604269336508;-0.000175680733940399;0.0000204
20220429;0.025704633362166;-0.0162064314724431;0.00464718232728656;0.0000204
20220502;-0.0164364816700612;0.0116857182793557;0.00224429006437959;0.0000332
20220503;-0.00146404594354121;0.00983412408893101;0.00735599775068439;0.0000332
20220504;-0.00239370104253578;-0.00119422821648365;0.0173569907491571;0.0000332
20220505;-0.00315865972140472;-0.0122614364732323;0.00567199202121155;0.0000332
20220506;-0.0252923279938418;0.00184844469932901;0.0177695773732909;0.0000332
20220509;-0.0451740145997602;-0.0018357628662434;-0.00930601574751757;0.0000332
20220510;0.0089668633045672;0.0054513535655185;0.0002443559702021;0.0000332
