Date;ADIDAS (XET) - TOT RETURN IND;AIRBUS (XET) - TOT RETURN IND;ALLIANZ (XET) - TOT RETURN IND;BASF (XET) - TOT RETURN IND;BAYER (XET) - TOT RETURN IND;BEIERSDORF (XET) - TOT RETURN IND;BMW (XET) - TOT RETURN IND;BRENNTAG (XET) - TOT RETURN IND;COMMERZBANK (XET) - TOT RETURN IND;CONTINENTAL (XET) - TOT RETURN IND;DAIMLER TRUCK (XET) HOLDING E - TOT RETURN IND;DEUTSCHE BANK (XET) - TOT RETURN IND;DEUTSCHE BOERSE (XET) - TOT RETURN IND;DEUTSCHE POST (XET) - TOT RETURN IND;DEUTSCHE TELEKOM (XET) - TOT RETURN IND;DR ING HC F PORSCHE(XET) PREF. - TOT RETURN IND;E ON N (XET) - TOT RETURN IND;FRESENIUS (XET) - TOT RETURN IND;FRESENIUS MED.CARE (XET) - TOT RETURN IND;HANNOVER RUECK (XET) - TOT RETURN IND;HEIDELBERG (XET) MATERIALS - TOT RETURN IND;HENKEL PREF. (XET) - TOT RETURN IND;INFINEON TECHS. (XET) - TOT RETURN IND;MERCEDES-BENZ GROUP(XET) N - TOT RETURN IND;MERCK KGAA (XET) - TOT RETURN IND;MTU AERO ENGINES (XET) HLDG. - TOT RETURN IND;MUNCH. (XET) RVRS.GESELL.MUNCH.N - TOT RETURN IND;PORSCHE AML.HLDG. (XET) PREF. - TOT RETURN IND;QIAGEN (XET) - TOT RETURN IND;RHEINMETALL (XET) - TOT RETURN IND;RWE (XET) - TOT RETURN IND;SAP (XET) - TOT RETURN IND;SARTORIUS PREF. (XET) - TOT RETURN IND;SIEMENS (XET) - TOT RETURN IND;SIEMENS ENERGY N (XET) - TOT RETURN IND;SIEMENS (XET) HEALTHINEERS - TOT RETURN IND;SYMRISE (XET) - TOT RETURN IND;VOLKSWAGEN PREF. (XET) - TOT RETURN IND;VONOVIA (XET) - TOT RETURN IND;ZALANDO (XET) - TOT RETURN IND
20090101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20090102;0.0247001713306683;0.0871385083713849;0.0287383397719778;0.00612222180995148;0.0308075978324054;0.00642198409438843;0.0337791188278314;NA;0.0188181296615031;0.054348111055764;NA;0.0472646073688128;0.0679134148137241;-0.0210940795949937;0.025133430373605;NA;0.0453556745386747;-0.0204558019534369;0.0252311549913806;-0.0062427650074417;0.0454648014440433;0.0610616656071201;0.0431654676258992;0.0392913523943168;0.0212529567772919;0.0153310104529616;0.0137530210611116;0.051232993197279;-0.00725521277892938;0.0611383887979633;0.0367362866062138;0.0269423162160451;0.0392331698617923;0.0535278301449453;NA;NA;0.0470923412099882;0.0718139773895168;NA;NA
20090105;0.00250801170405457;0.0658032901645083;-0.00283934786590956;-0.0111127501598072;0.000236475424746141;0.030996104618809;-0.0217176214504798;NA;-0.0310845815970268;0.00164113785557984;NA;-0.011869225302061;0.0230274951049336;-0.0132164918833502;0.0335100340780008;NA;0.0248893868544708;-0.0284710899285089;-0.00382146132681138;0.00224653658942464;0.00571921873313919;-0.00874749108774453;0.137931034482759;-0.039662447257384;0.0115107913669066;-0.00303951367781141;-0.0140205483339956;-0.0655586450960566;0.0292943560768899;0.0201535508637236;0.0321008011757749;0.013903875204242;0.00825825825825843;-0.010619261345302;NA;NA;0.000960307298335517;0.0183786807303528;NA;NA
20090106;0.0473476951586751;0.0186097427476739;-0.0484982088729677;-0.00361742330068127;0.0338443632131231;0.0130800093557153;-0.00364096080910237;NA;-0.0244100895036614;-0.000968174370686636;NA;-0.0312162842551967;0.0277657968514127;0.0133935070607076;-0.00833485986444416;NA;-0.0154165365222436;0.0339530080041313;0.000562631067464681;0.0173923871985389;-0.0621244635193133;0.0298890870077668;0.0303030303030303;0.0333919156414761;0.00225514346181854;0.0338316286388669;-0.013816925734024;0.0124369361448879;0.0174224343675418;-0.00524123101733642;-0.0108537093637121;0.0108246168815374;0.0479736198276779;0.023304770658523;NA;NA;-0.000959385992964523;0.0493938561732514;NA;NA
20090107;-0.0123413102136506;-0.00505104782375065;-0.0368761463461725;-0.0363804224420795;-0.0121904024767803;-0.0262662499112029;0.0121555093133026;NA;-0.0476587632550936;-0.0321795094799096;NA;-0.0193778305739104;-0.018229030058228;-0.0300244217784802;-0.0402696961300453;NA;-0.0336724751308605;-0.0451367211886629;-0.00792352520192219;-0.0245614035087719;0.0524539526369983;-0.0102412113386935;0.0117647058823529;-0.00323129251700671;0.0175159235668789;0.0371004566210045;0.00677174547577342;0.0005477438963295;-0.0194112127609665;-0.0239124560929478;-0.0210677856001685;0.0047226567200096;0.00446609825416155;-0.0190652797496595;NA;NA;-0.00480153649167725;-0.0734634365186182;NA;NA
20090108;-0.0124955213185238;-0.0160941888096781;-0.0543249473789716;0.0060463249478877;0.00662452141394354;-0.0369877254737456;-0.00634323680581683;NA;-0.137870636807206;0.0525572558282839;NA;-0.0572380375529983;-0.0339290962036815;-0.0361374407582938;0.00375324800307952;NA;-0.00378707937624578;-0.0370709382151029;-0.00798680888339254;-0.00179856115107913;0.00489157019403219;0.0115627501556523;-0.104651162790698;-0.0109196382869817;0.014730897462067;-0.0475142175747568;0.00736402644091383;0.0168572706576673;-0.0135159380419833;-0.0569204152249134;-0.00256460840402462;0.0168557827609952;-0.0333468067906224;-0.0391670358883474;NA;NA;-0.0384367963975555;0.012387523705766;NA;NA
20090109;-0.0308857544559844;0.0201998023932375;0.0618971913089561;-0.0349016781632864;0.00182213809330056;-0.0130489952841802;0.0223809043197416;NA;-0.110579016107967;-0.0386632516160507;NA;-0.0577417282364279;-0.0724814026160782;-0.0459434542102027;-0.0179290508149568;NA;-0.0304706533124625;0.0146659424225963;-0.0137128610014545;0;0.0314240899994591;-0.0432603534687417;-0.0909090909090909;0.00310505433845099;-0.00174338686425046;0.0167565485362096;0.0229091118402118;0.00126057040810967;0.00406183692027895;0.00572372041827185;-0.0410133774453394;0.0112472029207396;0.0126489650846751;-0.0415321712933077;NA;NA;-0.0409767519652116;0.0119968114786768;NA;NA
20090112;-0.027190190939723;-0.035080167868288;0.0310410220580897;-0.00582728824407941;-0.00250750485608331;-0.0154091188210008;-0.00626866408351645;NA;-0.0234948604992657;-0.0274803349403706;NA;0.00784113185033664;-0.0384615384615384;-0.00386535674021582;-0.0140583813335938;NA;-0.00893442423948143;-0.0020744111349037;0.00452917632188754;0.0675885187513094;-0.00146827477713685;0.00214441074656135;-0.0571428571428571;-0.0111779879621667;-0.0369101595298069;-0.0636484182610343;0.0194699229081086;-0.0255534281068037;-0.0184156502837822;-0.030644631717194;-0.0274116433861442;-0.015314738251907;-0.0181686796737897;-0.0248251972544742;NA;NA;-0.0188350191838159;-0.0558859438383679;NA;NA
20090113;0.00856304421032372;0.0197390431582469;-0.0383349467570183;-0.005083495406076;-0.00272624274182121;0.00869243212691706;-0.0453743946355395;NA;-0.0538011695906433;-0.0609752915699115;NA;-0.00921775898520083;0.0172093023255815;-0.0603071948261925;-0.000495098524606385;NA;-0.0180176869748413;0.0264869576879234;0.00692041522491338;-0.0295549101185336;-0.0214263207646255;-0.0464035704460001;0.0151515151515151;-0.0314782608695653;0.00530059980471465;0.0404612583451345;-0.0176629684826406;-0.0149589184897078;0.0105800578212463;0.0379360957434798;0.000983170435486569;0.0168539325842696;-0.0173483335085691;-0.0282857518747534;NA;NA;-0.0200853181656594;-0.0138077757383614;NA;NA
20090114;-0.062008108752683;-0.0669291338582678;-0.0439903362190458;-0.0542493528904228;-0.00956793410728862;-0.00689788426239002;-0.0548675789583224;NA;-0.106480663959032;-0.0968880244512365;NA;-0.0900477978832366;-0.0505105928974241;-0.0246042670337233;-0.0285318010699425;NA;-0.0506417532524229;0.0273059837993204;-0.0173383317713215;0.0113245702730032;-0.150638617580766;-0.0584709087994871;-0.0373134328358209;-0.0477644101274914;-0.00811710836686541;-0.0468598094497374;-0.0115749845479576;-0.0494931140015301;-0.00164343538864198;-0.111425359875267;-0.0219744241583854;-0.0544053503925559;-0.0588487053284827;-0.120396696452748;NA;NA;-0.0119717032468711;-0.0104056511991879;NA;NA
