observation_date;TEDRATE;Ted_lag;Ted_diff;R_BAB;BAB_lagged;R_BAB_SD;BAB_SD_lagged;MarketReturn;BS;BS_SD
12.02.2007;32;34;-2;0.0024827253096585;0.00366760871191821;-0.00217774685025578;0.000213223939818677;0.23;0.489022073850084;0.779071044090765
13.02.2007;33;32;1;-0.00240035872404068;0.0024827253096585;0.00185779006870541;-0.00217774685025578;-0.08;0.488412392536461;0.781323922087728
14.02.2007;34;33;1;-0.00194529605660394;-0.00240035872404068;-0.00296362025593034;0.00185779006870541;-0.74;0.489109500161914;0.80097122120449
15.02.2007;33;34;-1;0.00139940247576905;-0.00194529605660394;0.000562716363534579;-0.00296362025593034;-0.33;0.489841152691955;0.801372823384404
16.02.2007;32;33;-1;-0.00217427627464555;0.00139940247576905;-0.000127359858868192;0.000562716363534579;0.74;0.488901671406164;0.798823196786967
20.02.2007;31;32;-1;-0.000873331196799417;-0.00217427627464555;0.00133089429830594;-0.000127359858868192;0.75;0.489812920491069;0.793134161301504
21.02.2007;32;31;1;-0.00550799331597634;-0.000873331196799417;-0.00121544650068015;0.00133089429830594;0.13;0.489002979471176;0.79097059901832
22.02.2007;31;32;-1;-0.00422435868694902;-0.00550799331597634;0.00235549686898909;-0.00121544650068015;0.02;0.489329147004307;0.790015596179226
23.02.2007;31;31;0;-0.00261076627376585;-0.00422435868694902;0.00204404181533525;0.00235549686898909;0.44;0.48886660737809;0.791888461133486
26.02.2007;31;31;0;0.00490565904387279;-0.00261076627376585;1.42269809657401E-05;0.00204404181533525;-0.07;0.488295045729287;0.790784526549368
27.02.2007;37;31;6;-0.00805377651008708;0.00490565904387279;-3.29584378683193E-05;1.42269809657401E-05;-0.04;0.487270094574836;0.791700859895059
28.02.2007;34;37;-3;0.00426587309582306;-0.00805377651008708;0.0022085595120537;-3.29584378683193E-05;-0.29;0.484207913915415;0.793541050340209
01.03.2007;35;34;1;-0.00107115688762914;0.00426587309582306;-0.00218331328767378;0.0022085595120537;-0.17;0.481137655620066;0.790808096214256
02.03.2007;37;35;2;-0.00267816273855286;-0.00107115688762914;-5.00957770472221E-05;-0.00218331328767378;-3.41;0.479108220699033;0.791764498085146
05.03.2007;36;37;-1;0.00311271758512748;-0.00267816273855286;-0.00481004649473005;-5.00957770472221E-05;0.49;0.477695718231222;0.790869664025753
06.03.2007;35;36;-1;0.000981408639480911;0.00311271758512748;-0.00411808979036007;-0.00481004649473005;-0.231;0.477918369751976;0.79043630391758
07.03.2007;37;35;2;-0.00559192762396614;0.000981408639480911;-0.00310013955168287;-0.00411808979036007;-1.221;0.477453270038237;0.789300474374209
